precipitation_probability,temperature_c,wind_speed_mps,humidity_percent,cloudiness_percent,pressure_hpa,precipitation_mm,flood_label
24.7,9.5,7.3,97.7,88.8,1028.2,0.0,0
19.7,8.4,7.4,88.9,100.0,1027.5,0.0,0
33.4,9.0,6.8,100.0,100.0,1030.7,0.6,1
13.2,2.8,9.6,69.1,72.0,1003.8,0.0,0
40.8,6.1,7.7,100.0,100.0,1003.4,3.2,1
10.5,6.0,5.6,86.5,100.0,1015.3,0.0,0
6.9,4.1,10.8,74.6,61.8,999.6,0.0,0
16.7,8.4,5.5,93.0,100.0,1027.5,0.0,0
6.2,2.6,0.9,88.1,82.4,1020.8,0.0,0
35.5,5.1,6.4,94.4,75.0,1012.2,2.1,0
24.6,8.6,4.3,100.0,100.0,1032.5,0.0,1
39.3,10.4,8.8,100.0,100.0,1018.6,0.0,1
28.7,8.1,8.2,100.0,100.0,1029.9,0.0,1
18.5,6.0,6.2,82.6,97.8,1000.1,0.0,0
21.7,7.6,5.9,100.0,100.0,1023.8,0.0,1
27.5,9.6,17.4,85.2,75.0,1000.5,1.2,1
13.0,8.1,7.2,92.2,100.0,1024.1,0.0,0
11.8,4.2,5.5,71.9,99.1,1028.5,0.0,0
34.7,10.0,9.7,94.9,92.6,1009.8,2.3,0
14.8,2.3,9.0,85.7,99.5,1001.8,0.0,1
24.2,5.8,9.0,83.1,95.8,1020.0,0.0,0
12.7,6.3,2.3,73.1,96.7,1004.0,0.0,0
51.4,3.7,9.2,100.0,100.0,1008.8,5.1,1
19.3,5.4,8.2,68.4,100.0,999.3,0.0,0
46.4,6.2,8.5,96.0,100.0,982.9,0.0,1
23.9,8.0,2.5,89.2,100.0,1015.0,0.0,0
16.4,8.5,6.2,96.0,100.0,1029.3,0.0,1
25.6,9.7,6.2,97.6,92.2,1023.7,0.0,0
18.3,8.4,4.5,98.7,100.0,1015.8,0.0,1
31.6,7.1,5.9,100.0,98.1,1032.0,0.2,1
45.1,7.5,8.1,98.6,100.0,1017.9,2.8,1
14.8,2.9,8.2,84.6,91.2,998.7,0.0,0
28.7,9.5,8.8,100.0,100.0,1015.5,0.3,1
37.5,3.5,8.8,77.9,98.2,1009.7,1.9,0
21.2,3.7,8.0,100.0,100.0,997.9,0.1,1
26.0,5.9,11.6,99.6,94.7,992.3,0.0,1
29.8,7.8,7.1,100.0,80.0,1024.3,0.0,0
42.0,2.6,0.7,91.9,94.7,1021.7,0.1,0
